serie a;S.S. Necropotence
serie a;Batlard Corporated Inc.
serie a;ISDA i due porri
serie a;Paris San Gonzen
serie a;Real Sivori
serie a;F.C. Pitbull
serie a;FC Squirt Game
serie a;Milfhunters
serie a;Team Fly
serie a;F.C. Birra Real 2023
serie b;Scarsenal
serie b;Cristos F.C.
serie b;Dellimellow FC
serie b;Atletico Van Goof
serie b;Red Bull F.C.
serie b;FC Longobarda
serie b;River Pino
serie b;11 Outsiders A.S.D.
serie b;Real Moscardelli
serie b;Tapparella P.D.
serie c;AS Intomatici
serie c;F.C. Boliverz
serie c;Giannopulos F.C.
serie c;FC Inserimento Da Dietro
serie c;Bayern Money
serie c;SegaTori FC
serie c;Nankatsu
serie c;Real Colly
serie c;Liverposs
serie c;Interamnia Sooner
